Player_id,Season,Competition,Games,PPG,Goals,Assists,Yellow_cards,Yellow_red_cards,Red_cards,Penalty_goals,Minutes_per_goal,Minutes_played,Club_id,League_type
45668,2017,Bundesliga,12,0.5,0,2,3,0,0,0,0,927,3,wettbewerb
45668,2017,DFB-Pokal,1,3.0,0,0,0,0,0,0,0,90,3,pokalwettbewerb
45668,2017,Europa League,6,1.0,0,0,0,0,0,0,0,502,3,pokalwettbewerb
45668,2016,Bundesliga,28,1.36,0,2,4,0,0,0,0,1934,3,wettbewerb
45668,2016,DFB-Pokal,3,2.0,1,1,1,0,0,0,300,300,3,pokalwettbewerb
45668,2015,Bundesliga,31,1.1,2,5,7,0,0,0,1064,2127,105,wettbewerb
45668,2015,DFB-Pokal,2,1.5,1,1,0,0,0,0,104,104,105,pokalwettbewerb
45668,2014,3. Liga,9,1.22,2,1,2,0,0,2,397,794,102,wettbewerb
45668,2014,Bundesliga,4,1.0,0,0,0,0,0,0,0,71,79,wettbewerb
45668,2014,DFB-Pokal,0,0.0,0,0,0,0,0,0,0,0,79,pokalwettbewerb
45668,2013,Bundesliga,21,0.9,2,0,1,0,0,0,744,1488,79,wettbewerb
45668,2013,DFB-Pokal,1,0.0,0,0,0,0,0,0,0,90,79,pokalwettbewerb
45668,2013,Europa League,0,0.0,0,0,0,0,0,0,0,0,79,pokalwettbewerb
45668,2013,Europa League Qualifying,1,1.0,0,0,1,0,0,0,0,90,79,pokalwettbewerb
45668,2012,Bundesliga,30,1.3,3,5,3,0,0,0,777,2332,42,wettbewerb
45668,2012,Europa League,8,2.0,0,3,3,0,0,0,0,516,42,pokalwettbewerb
45668,2012,DFB-Pokal,2,3.0,1,1,0,0,0,0,148,148,42,pokalwettbewerb
45668,2012,Europa League Qualifying,2,3.0,0,2,0,0,0,0,0,123,42,pokalwettbewerb
45668,2011,Bundesliga,33,1.45,1,4,5,0,0,1,2062,2062,42,wettbewerb
45668,2011,Europa League,14,1.79,1,2,0,0,0,0,854,854,42,pokalwettbewerb
45668,2011,DFB-Pokal,2,1.5,0,2,1,0,0,0,0,175,42,pokalwettbewerb
45668,2010,Bundesliga,34,1.76,5,5,1,0,0,0,568,2842,42,wettbewerb
45668,2009,Bundesliga,26,0.92,0,0,1,0,0,0,0,1696,42,wettbewerb
45668,2009,DFB-Pokal,1,0.0,0,0,0,0,0,0,0,84,42,pokalwettbewerb
45668,2008,Bundesliga,25,1.24,0,2,3,0,0,0,0,2034,42,wettbewerb
45668,2008,DFB-Pokal,1,0.0,0,0,0,0,0,0,0,90,42,pokalwettbewerb
45668,2008,RL Nord (bis 11/12),4,1.5,0,0,0,0,0,0,0,348,1065,wettbewerb
45668,2007,Oberliga Nord,11,2.0,0,0,0,0,0,0,0,954,1065,wettbewerb
45668,2007,U19-BL N/NE,12,1.67,1,0,2,0,0,0,1052,1052,2663,wettbewerb
45668,2007,Bundesliga,2,2.0,0,0,0,0,0,0,0,67,42,wettbewerb
462984,2022,1.Division,10,1.4,0,0,0,0,0,0,0,384,3733,wettbewerb
462984,2022,Russian Cup,2,1.5,0,0,0,0,0,0,0,180,3733,pokalwettbewerb
462984,2021,FNL-2 Group 2,19,2.16,1,0,3,2,0,0,1558,1558,54443,wettbewerb
462984,2020,PFL Group 2,20,1.9,1,0,4,2,0,0,1554,1554,54443,wettbewerb
462984,2020,U19 M-Liga,3,0.0,0,0,2,0,0,0,0,270,11741,wettbewerb
462984,2020,Premier Liga,0,0.0,0,0,0,0,0,0,0,0,121,wettbewerb
462984,2019,U19 M-Liga,21,2.1,1,0,5,0,0,0,1889,1889,11741,wettbewerb
462984,2019,Premier Liga,0,0.0,0,0,0,0,0,0,0,0,121,wettbewerb
462984,2018,U19 M-Liga,22,1.82,2,1,6,0,0,0,859,1718,11741,wettbewerb
462984,2017,U19 M-Liga,10,1.8,0,0,2,0,0,0,0,599,11741,wettbewerb
60790,2022,Super League,29,1.76,1,3,5,0,0,0,2320,2320,9982,wettbewerb
60790,2022,Chinese FA Cup,0,0.0,0,0,0,0,0,0,0,0,9982,pokalwettbewerb
60790,2021,Super League,19,1.53,0,1,1,1,0,0,0,1685,9982,wettbewerb
60790,2020,Premier Liga,2,2.0,1,0,0,0,0,0,180,180,121,wettbewerb
60790,2020,CSL Relegation Play-Offs,6,2.33,0,0,0,0,0,0,0,570,9982,wettbewerb
60790,2019,Premier Liga,19,1.32,0,1,3,1,0,0,0,1521,121,wettbewerb
60790,2019,Russian Cup,0,0.0,0,0,0,0,0,0,0,0,121,pokalwettbewerb
60790,2018,Premier Liga,29,1.14,1,0,7,0,0,0,2590,2590,121,wettbewerb
60790,2018,Russian Cup,1,0.0,0,0,0,0,0,0,0,90,121,pokalwettbewerb
60790,2017,Premier Liga,27,1.3,3,1,3,0,0,0,796,2388,121,wettbewerb
60790,2017,Russian Cup,1,0.0,0,0,0,0,0,0,0,45,121,pokalwettbewerb
60790,2016,Serie A,7,1.29,0,0,1,0,0,0,0,240,458,wettbewerb
60790,2016,2. Bundesliga,10,1.9,2,0,3,0,0,0,428,855,79,wettbewerb
60790,2016,DFB-Pokal,2,1.5,0,0,0,0,0,0,0,180,79,pokalwettbewerb
60790,2015,Bundesliga,19,1.05,1,0,5,1,0,0,1360,1360,79,wettbewerb
60790,2015,DFB-Pokal,3,2.0,1,0,0,0,0,0,300,300,79,pokalwettbewerb
60790,2015,Premier Liga,6,0.5,0,0,2,0,0,0,0,540,2439,wettbewerb
60790,2014,Premier Liga,22,1.09,1,0,4,0,0,0,1935,1935,2439,wettbewerb
60790,2014,Russian Cup,4,2.25,2,0,1,0,0,0,195,390,2439,pokalwettbewerb
