club_id,Season,W,D,L,Points,Goales_scored,Goales_conceded
23,2013,6,7,21,25,29,60
23,2012,19,10,5,67,52,34
23,2011,10,15,9,45,37,35
23,2010,26,7,5,85,81,22
23,2009,17,11,10,62,55,37
23,2008,12,9,17,45,46,51
23,2007,13,14,9,53,55,50
23,2006,4,11,19,23,20,48
23,2005,13,4,17,43,37,48
23,2004,20,10,6,70,59,35
23,2003,15,7,12,52,49,42
23,2002,8,10,16,34,33,53
23,2001,19,7,8,64,60,29
23,2000,13,10,13,49,55,43
2227,2013,3,4,22,10,18,46
2227,2012,10,5,15,32,27,46
2227,2011,12,9,9,45,43,36
2227,2010,10,9,11,39,44,46
2227,2009,12,9,9,45,38,38
2227,2008,10,7,13,37,41,45
2227,2007,13,8,9,47,38,40
2227,2006,12,6,12,42,32,30
2227,2005,11,6,13,39,29,31
2227,2004,11,9,10,42,37,28
2227,2003,7,11,12,32,22,28
2227,2001,8,6,12,30,27,36
12438,2015,14,9,15,51,39,37
12438,2014,12,4,18,40,44,57
12438,2013,6,3,21,21,22,65
12438,2012,7,8,15,29,28,46
12438,2010,12,5,27,41,37,60
12438,2009,19,14,5,71,62,25
12438,2008,17,14,7,65,54,32
2292,2022,6,6,9,24,22,31
2292,2021,10,9,15,39,36,51
2292,2020,10,6,22,33,61,90
2292,2019,5,4,19,16,18,59
2292,2018,6,7,21,25,38,64
2292,2017,13,9,12,48,53,44
2292,2016,12,11,11,41,43,35
2292,2015,13,13,8,52,45,38
2292,2014,11,9,14,42,42,45
2292,2013,10,4,20,34,38,62
2292,2012,10,13,11,43,31,46
2292,2011,18,7,9,61,45,30
2292,2010,20,11,3,71,55,24
2292,2007,8,10,16,34,40,54
2292,2006,14,8,12,50,52,49
2292,2005,11,12,11,45,40,45
2292,2003,5,7,22,22,37,79
2292,2002,10,7,17,37,40,59
1210,2022,11,7,6,40,30,20
1210,2020,7,13,18,29,41,53
1210,2019,5,6,27,21,30,67
1210,2018,9,12,15,39,38,51
1210,2017,20,8,8,68,64,38
1210,2016,19,12,7,69,51,30
1210,2015,10,12,20,42,45,57
1210,2014,15,14,13,59,57,50
1210,2013,6,7,25,25,39,77
1210,2012,23,11,8,80,77,47
1210,2011,12,12,18,48,49,49
1210,2010,15,14,13,59,49,46
1210,2009,7,8,23,29,27,61
1210,2008,16,20,6,68,64,40
1210,2007,6,12,20,30,35,60
1210,2006,10,13,15,43,41,54
1210,2005,12,13,13,49,37,44
1210,2004,11,12,15,45,49,60
1210,2003,20,19,7,79,75,45
1210,2002,12,13,13,49,48,43
1210,2000,17,12,5,63,56,25
1627,2022,20,3,1,63,54,13
1627,2021,0,0,0,0,0,0
1627,2020,17,10,9,59,50,38
1627,2019,13,8,9,60,39,38
1627,2018,19,8,9,65,48,29
1627,2017,21,7,8,70,65,31
1627,2016,14,12,12,47,40,36
1627,2015,12,13,9,39,37,34
1627,2014,12,13,17,49,59,60
1627,2013,8,8,22,32,34,66
1627,2012,15,11,12,56,50,46
1627,2011,11,15,12,48,47,52
1627,2010,12,10,16,46,40,52
1627,2009,10,15,13,45,44,45
1627,2008,12,7,19,43,41,51
1627,2007,8,13,17,37,33,45
1627,2006,10,11,17,41,46,68
1627,2005,22,12,8,78,67,42
1627,2004,13,16,13,55,42,44
1627,2003,18,13,15,67,53,53
1627,2002,12,7,19,43,45,60
16245,2013,10,5,14,35,33,46
16245,2012,22,8,4,74,74,22
16245,2011,23,7,4,76,60,22
16245,2010,7,6,17,27,26,48
16245,2009,24,4,6,76,68,27
16245,2008,14,6,11,48,43,41
1423,2022,7,10,8,31,24,29
1423,2021,10,14,14,44,34,47
1423,2020,12,11,15,47,50,59
1423,2019,11,9,8,42,24,20
1423,2018,11,10,17,43,52,61
1423,2017,12,9,17,45,50,64
1423,2016,10,15,13,45,44,44
1423,2015,10,14,14,44,39,43
1423,2014,10,12,16,42,34,51
1423,2013,7,8,23,29,37,65
1423,2012,12,12,14,48,49,53
1423,2011,12,7,19,43,40,50
1423,2010,10,18,10,48,45,41
1423,2009,14,10,14,52,50,50
1423,2008,10,14,14,44,35,42
1423,2007,12,9,17,45,42,40
1423,2006,11,10,17,43,36,48
1423,2005,21,10,6,73,51,28
750,2022,13,5,7,44,42,22
750,2021,19,11,8,68,47,34
750,2020,12,15,11,51,45,37
750,2019,8,10,10,34,28,30
750,2018,11,8,19,41,27,43
750,2017,15,8,15,53,51,62
750,2016,11,13,14,46,38,43
750,2015,9,15,14,42,34,36
750,2014,13,13,12,52,39,37
750,2013,10,10,18,40,37,61
750,2012,10,11,17,41,41,57
750,2011,11,9,18,42,40,60
750,2010,17,7,14,58,60,43
750,2009,11,8,19,41,28,52
750,2008,10,12,16,42,40,48
750,2007,10,14,14,44,34,43
750,2006,15,12,11,57,46,48
750,2005,11,11,16,44,34,47
750,2004,13,11,14,50,42,41
750,2003,18,9,11,63,54,42
750,2002,17,13,8,64,46,31
750,2001,12,10,12,46,41,40
750,2000,21,12,5,75,67,27
1411,2014,14,13,7,55,52,30
1411,2013,6,4,20,22,29,53
1411,2012,13,5,12,44,48,53
1411,2011,9,9,12,36,50,55
1411,2010,17,8,9,59,63,38
1411,2009,19,9,8,66,56,32
1411,2008,3,10,21,19,31,57
1411,2007,7,12,15,33,37,45
1411,2006,12,8,14,44,41,41
1411,2005,20,9,5,69,64,30
1411,2004,7,5,22,26,39,58
1411,2003,7,12,15,33,29,52
1411,2002,13,4,15,43,45,45
993,2022,12,5,7,41,36,23
993,2021,25,7,2,82,86,29
993,2019,12,9,7,45,33,27
993,2018,7,13,22,34,48,79
993,2017,15,6,21,51,57,65
993,2016,14,13,15,55,42,52
993,2015,19,8,15,65,59,52
993,2014,3,11,24,20,22,68
993,2013,16,13,13,61,46,43
993,2012,15,9,18,54,55,55
993,2011,20,11,11,71,52,43
993,2010,13,13,16,52,58,63
993,2009,14,13,15,55,40,46
993,2008,14,11,17,53,47,54
993,2007,11,17,14,50,50,56
993,2004,12,10,20,46,43,52
993,2003,11,15,15,48,36,41
993,2002,12,14,16,50,36,38
993,2001,14,11,17,53,46,51
993,2000,14,14,14,56,40,43
20100,2015,2,7,24,7,19,73
20100,2014,9,6,18,33,31,52
20100,2013,8,14,11,38,31,42
20100,2012,17,11,5,62,39,27
20100,2011,10,8,8,38,42,35
20100,2010,10,12,8,42,58,57
20100,2009,14,8,8,50,56,46
20698,2022,4,6,13,15,16,33
20698,2021,3,3,30,12,26,77
20698,2020,9,8,17,35,35,53
20698,2019,9,11,14,38,36,48
20698,2018,11,7,16,34,36,45
20698,2017,16,7,11,52,56,46
20698,2016,10,12,12,42,56,48
20698,2015,13,13,8,52,40,29
20698,2014,6,9,19,27,48,69
20698,2013,22,7,7,73,56,33
20698,2012,20,9,3,69,46,20
20698,2011,20,8,4,68,73,32
20698,2010,11,10,13,43,48,50
6894,2017,0,3,31,-6,17,145
6894,2016,1,3,30,-3,21,112
6894,2015,8,9,17,33,35,54
6894,2014,5,12,17,27,43,62
6894,2013,10,7,17,37,34,50
6894,2012,19,6,9,63,59,37
6894,2011,12,10,12,46,43,39
6894,2010,11,15,6,48,40,29
6894,2009,10,11,13,41,42,53
6894,2008,10,11,13,41,45,43
6894,2007,14,10,10,52,55,42
6894,2006,9,10,15,37,29,49
6894,2005,9,13,12,40,36,47
5572,2019,10,7,6,37,27,20
5572,2014,2,1,30,-6,7,84
5572,2013,17,5,4,56,47,12
5572,2012,17,17,6,68,44,23
5572,2006,8,8,18,32,23,44
5572,2005,9,11,10,38,32,31
5220,2020,11,3,8,36,29,15
5220,2019,9,2,9,29,31,33
5220,2018,15,6,9,48,48,28
5220,2017,13,7,14,46,56,47
5220,2015,5,4,24,7,18,73
5220,2014,8,8,18,32,35,60
5220,2013,11,11,12,44,39,40
5220,2012,21,11,8,74,42,25
5220,2011,7,8,15,29,27,44
5220,2010,11,6,13,39,32,38
5220,2009,9,9,12,36,37,41
5220,2008,9,9,12,36,31,39
5220,2007,7,9,14,30,28,42
5220,2006,11,6,13,39,30,32
5220,2005,16,8,6,56,41,23
5220,2004,5,5,20,20,19,50
1429,2022,17,6,5,57,47,19
1429,2021,18,13,7,67,53,31
1429,2020,15,12,11,57,51,42
1429,2019,7,9,11,42,33,42
1429,2018,25,8,5,83,70,29
1429,2017,11,17,14,50,55,61
1429,2016,12,17,13,53,51,48
1429,2015,19,11,12,68,57,37
1429,2014,4,12,22,24,36,73
1429,2013,17,15,10,66,45,35
1429,2012,12,14,16,50,46,59
1429,2011,4,10,24,22,24,60
1429,2010,11,10,17,43,38,50
1429,2009,20,14,8,74,55,29
1429,2008,17,9,8,60,41,25
1429,2007,5,17,20,32,37,66
1429,2006,12,13,17,49,51,66
1429,2005,18,12,12,66,66,54
1429,2004,12,14,16,50,47,61
1429,2000,12,13,9,49,40,35
2783,2014,6,10,10,22,27,38
2783,2013,13,7,9,43,47,42
2783,2012,14,7,9,49,45,35
2783,2011,12,6,12,42,35,34
2783,2010,11,5,14,38,36,45
2783,2009,11,7,12,40,41,33
2783,2008,14,7,9,49,36,27
2783,2007,6,13,11,31,34,39
2783,2006,9,9,12,36,26,35
2783,2005,10,9,10,39,35,34
2783,2004,14,7,9,49,38,35
2783,2003,14,10,6,52,51,34
2783,2001,12,6,8,42,38,28
1039,2022,10,9,15,39,35,49
1039,2021,19,9,18,66,60,59
1039,2020,19,11,16,68,57,55
1039,2019,16,10,20,58,67,76
1039,2018,14,9,23,51,53,71
1039,2017,15,11,20,56,58,70
1039,2016,15,8,23,53,52,66
1039,2015,14,18,14,60,54,54
1039,2014,8,6,24,30,42,73
1039,2013,23,11,12,80,60,44
1039,2012,4,13,21,25,30,60
1039,2011,10,7,21,37,43,66
1039,2010,24,16,6,88,71,32
1039,2009,14,15,17,57,58,65
1039,2008,15,16,15,61,42,44
1039,2007,14,16,16,58,60,66
1039,2006,14,11,21,53,54,68
1039,2005,12,14,20,50,50,65
1039,2004,17,11,18,62,54,58
1039,2003,22,17,7,83,80,45
1039,2002,24,11,11,83,69,45
14171,2022,7,5,7,26,20,19
14171,2021,17,6,3,57,59,26
14171,2020,2,2,1,8,10,6
14171,2015,9,12,17,39,41,41
14171,2014,11,4,23,37,41,62
14171,2013,11,11,16,44,39,51
14171,2012,10,10,18,40,46,53
14171,2011,13,11,14,50,54,55
14171,2010,18,13,7,67,63,41
14171,2009,25,7,6,82,61,28
14171,2008,16,9,13,57,51,43
3327,2022,7,9,6,30,23,24
3327,2021,14,9,11,51,38,38
3327,2020,12,10,12,46,42,42
3327,2019,6,10,8,28,23,24
3327,2018,13,6,15,45,49,48
3327,2017,17,11,10,62,55,43
3327,2016,18,9,15,63,56,55
3327,2015,13,22,11,61,49,46
3327,2014,5,7,22,22,29,69
3327,2005,2,9,23,15,21,61
3327,2004,13,4,17,43,39,53
68608,2017,9,10,15,37,33,46
68608,2016,9,9,16,36,27,45
68608,2015,10,11,13,41,44,66
68608,2014,12,12,10,48,34,35
68608,2013,6,10,14,28,19,33
68608,2009,4,11,15,23,23,44
68608,2008,5,9,16,24,28,52
68608,2007,12,10,8,40,37,31
68608,2006,15,4,11,49,36,29
68608,2005,11,6,17,39,40,42
68608,2004,13,7,14,46,38,34
68608,2003,8,11,15,35,35,54
68608,2002,11,10,13,43,47,48
68608,2001,17,6,11,57,54,44
68608,2000,14,10,10,52,43,36
204,2017,11,6,11,39,35,47
204,2016,15,10,3,27,51,25
204,2015,14,9,9,51,53,41
204,2014,5,7,18,22,30,63
204,2013,9,5,16,32,36,53
204,2012,5,11,14,26,28,53
204,2011,6,13,11,31,24,36
204,2010,4,12,14,24,26,58
204,2009,21,12,3,75,75,32
204,2008,22,9,5,75,75,40
204,2007,15,8,13,53,47,36
204,2006,6,8,20,26,33,66
204,2005,8,8,18,32,22,52
204,2004,12,5,17,41,57,60
204,2003,8,15,11,39,33,40
204,2002,16,8,8,56,51,41
204,2001,9,8,17,35,55,65
204,2000,12,7,15,43,44,51
1455,2022,7,5,14,26,31,43
1455,2021,10,9,19,39,53,77
1455,2020,8,3,27,27,36,97
1455,2019,4,8,17,20,34,66
1455,2018,9,9,20,36,54,84
1455,2017,14,5,19,47,57,81
1455,2016,5,9,24,24,42,72
1455,2015,11,7,18,40,47,67
1455,2014,4,8,22,20,24,76
1455,2013,21,10,7,73,83,50
1455,2012,11,7,12,40,56,56
1455,2011,13,11,10,50,56,62
1455,2010,12,9,13,41,52,56
1455,2009,13,4,19,43,54,59
1455,2008,15,10,13,55,51,39
1455,2007,12,11,15,47,59,52
1455,2006,20,7,11,67,76,49
1455,2005,14,11,12,53,57,43
1455,2004,14,9,13,51,42,51
1455,2003,5,15,16,30,33,60
1455,2002,6,6,22,24,31,64
1455,2001,12,9,13,45,66,66
1455,2000,10,10,14,40,58,59
976,2017,12,8,18,44,44,53
976,2016,17,13,12,64,52,43
976,2015,7,8,19,29,27,50
976,2014,22,14,10,80,69,39
11126,2019,4,7,16,19,21,44
11126,2018,12,11,15,47,37,46
11126,2017,17,5,2,56,38,8
11126,2016,11,7,20,40,39,50
11126,2015,4,12,14,24,30,50
11126,2014,11,5,14,38,22,43
11126,2013,22,7,7,73,59,30
11126,2012,5,5,20,20,30,57
11126,2009,16,10,12,58,53,40
11126,2006,13,4,25,43,44,88
11126,2002,15,8,19,53,54,60
3558,2022,0,0,0,0,0,0
3558,2021,14,7,7,49,49,27
3558,2020,3,3,3,12,12,9
3558,2019,4,8,13,19,15,35
3558,2018,9,12,17,39,30,54
3558,2017,11,8,19,41,35,60
3558,2016,13,12,13,51,47,51
3558,2015,8,13,17,37,37,58
3558,2014,18,11,9,65,49,37
3558,2013,17,9,8,60,45,27
3558,2012,6,10,22,28,34,54
3558,2011,20,8,10,66,57,32
6994,2015,0,3,23,3,7,80
6994,2014,6,8,12,26,20,40
6994,2013,2,6,20,12,19,54
6994,2012,1,8,21,11,12,64
6994,2011,24,4,6,76,77,32
6994,2010,6,6,18,24,18,40
6994,2009,10,5,15,35,31,48
6994,2008,12,9,9,45,29,30
6994,2007,9,9,12,36,24,32
6994,2006,10,10,10,40,25,32
6994,2005,11,6,13,39,32,41
6994,2004,8,10,11,34,25,32
6994,2003,7,8,14,29,23,39
6994,2001,11,7,8,40,25,22
6996,2015,3,7,16,7,16,45
6996,2014,3,10,13,19,22,47
6996,2013,8,5,16,26,28,39
6996,2012,5,7,18,22,29,57
6996,2011,27,3,4,84,67,16
6996,2010,16,8,10,56,54,40
6996,2009,5,4,21,19,18,44
6996,2008,21,6,5,69,55,28
6996,2007,3,9,18,18,17,54
6996,2005,3,6,21,15,18,53
6996,2004,8,9,13,33,22,33
6996,2001,5,6,15,21,23,49
28956,2016,4,7,23,7,21,75
28956,2015,3,7,20,16,19,53
28956,2014,11,11,12,44,34,39
28956,2013,12,3,19,39,31,62
28956,2012,20,13,7,73,48,22
28956,2011,15,12,7,57,46,29
4102,2022,12,7,9,43,47,37
4102,2021,15,13,10,58,59,52
4102,2020,10,11,17,41,45,62
4102,2019,16,5,5,76,44,21
4102,2018,7,8,21,29,39,67
4102,2017,12,16,14,52,32,46
4102,2016,16,14,12,62,41,40
4102,2015,9,11,18,38,37,57
4102,2014,22,14,6,80,59,28
4102,2013,16,11,15,59,50,49
4102,2012,14,9,9,51,38,30
4102,2011,17,10,7,61,46,26
7185,2016,3,3,28,-6,7,81
7185,2015,3,8,19,17,18,58
7185,2014,11,10,13,43,35,44
7185,2013,11,8,15,41,39,52
7185,2012,10,6,14,36,30,33
7185,2011,22,7,5,73,49,16
7185,2010,13,8,13,47,36,38
7185,2009,3,3,24,12,21,62
7185,2008,9,6,15,33,23,37
7185,2007,17,10,7,60,44,31
7185,2006,12,6,16,42,40,44
3216,2017,1,1,32,-32,19,133
3216,2016,6,11,17,26,35,71
3216,2015,5,6,23,21,31,71
3216,2014,13,8,13,47,54,48
3216,2013,16,12,8,60,56,43
3216,2012,4,10,20,22,31,53
3216,2011,12,6,16,42,34,45
3216,2010,17,7,8,58,39,29
3216,2009,11,8,15,41,36,44
3216,2005,6,11,17,29,30,54
825,2022,3,6,12,15,23,41
825,2021,6,7,21,22,31,74
825,2020,1,8,25,8,23,91
825,2019,7,6,21,12,34,60
825,2018,9,8,17,35,44,66
825,2017,12,8,14,41,63,56
825,2016,16,11,7,56,62,44
825,2015,8,6,20,30,39,64
825,2014,9,12,13,39,45,52
825,2013,10,12,12,42,33,35
825,2012,11,13,10,46,48,40
825,2011,14,8,12,50,42,41
825,2010,12,11,11,47,41,40
825,2009,15,10,9,55,44,34
825,2008,10,10,14,40,45,49
825,2007,16,9,9,57,52,35
825,2006,9,10,15,37,31,41
6414,2015,5,9,12,24,22,46
6414,2014,8,11,6,35,34,32
6414,2013,17,9,3,57,56,30
6414,2012,20,6,4,66,59,25
6414,2011,16,11,3,59,54,32
6414,2010,18,6,6,60,58,26
6414,2009,19,5,6,62,49,23
6414,2008,17,8,5,59,44,25
6414,2007,19,6,5,63,51,27
6414,2006,18,7,5,61,43,20
6414,2005,12,7,11,43,35,42
6414,2004,9,7,14,34,25,37
6414,2001,11,7,8,40,35,36
2439,2017,12,13,13,49,47,47
2439,2016,14,13,11,55,44,37
2439,2015,5,11,14,26,34,44
2439,2014,8,12,10,36,32,36
2439,2013,10,8,12,38,40,42
2439,2012,14,9,7,51,48,28
2439,2010,15,16,13,61,50,45
2439,2009,24,8,6,80,51,20
2439,2008,6,10,14,28,23,51
2439,2007,33,9,13,108,105,49
2439,2006,7,11,12,32,27,38
2439,2005,30,7,5,97,92,25
2439,2004,23,12,7,81,55,25
2439,2003,6,10,14,28,26,42
2439,2002,27,5,10,86,75,38
2439,2000,16,12,6,60,56,29
2990,2021,3,8,23,17,35,62
2990,2020,17,11,6,62,46,30
2990,2019,10,5,9,35,34,26
2990,2018,15,6,13,51,36,37
2990,2017,19,6,13,63,59,40
2990,2016,17,11,14,62,42,35
2990,2015,5,10,19,25,32,60
2990,2014,4,17,13,29,26,46
2990,2013,9,10,11,37,25,35
2990,2012,6,10,14,28,33,45
2990,2011,7,8,15,29,27,38
2990,2010,7,9,14,30,32,48
2990,2009,8,9,13,33,37,42
2990,2008,10,9,11,39,28,32
2990,2007,6,14,10,32,31,38
2990,2006,6,8,16,26,28,46
2990,2005,10,9,15,39,37,48
2990,2004,9,11,14,38,29,41
2990,2003,11,5,18,38,40,42
2990,2002,8,13,13,37,38,48
3691,2021,13,9,16,48,51,60
3691,2020,10,11,21,41,32,50
3691,2019,10,9,8,39,32,26
3691,2018,17,13,8,64,40,25
3691,2017,10,11,17,41,36,56
3691,2016,3,5,22,14,17,64
3691,2015,22,8,8,74,58,35
3691,2014,18,10,6,64,57,34
3691,2013,8,7,15,31,23,39
3691,2010,8,13,23,37,30,70
3691,2009,10,7,13,37,35,43
3691,2008,11,8,11,41,31,39
3691,2007,7,8,15,29,23,39
3691,2006,8,11,11,35,37,35
3691,2005,11,8,11,41,35,33
3691,2004,9,10,11,37,28,33
3691,2002,25,10,7,85,55,23
3691,2000,12,11,11,47,31,28
2451,2022,8,9,9,33,36,38
2451,2021,16,11,9,59,53,34
2451,2020,8,12,7,36,36,31
2451,2019,14,3,10,45,39,32
2451,2018,14,14,8,56,48,40
2451,2017,16,9,11,57,53,37
2451,2016,7,13,18,34,44,71
2451,2015,14,10,14,52,54,48
2451,2014,19,8,11,65,52,42
2451,2013,16,9,13,57,44,44
2451,2012,13,15,10,54,64,60
2451,2011,10,9,19,39,42,60
2451,2010,14,11,13,53,52,44
2451,2008,10,7,21,37,37,58
2451,2007,13,4,21,43,51,62
2451,2006,8,12,13,36,36,45
2451,2005,15,13,10,58,51,38
2451,2004,11,11,16,44,41,47
105,2022,14,7,1,49,37,17
105,2021,18,6,10,60,71,46
105,2020,15,6,13,51,63,55
105,2019,13,13,8,52,48,43
105,2018,13,7,14,46,45,53
105,2017,10,13,11,43,47,45
105,2016,7,4,23,25,28,63
105,2015,9,11,14,38,38,53
105,2014,15,14,5,59,44,26
105,2013,21,9,8,72,58,29
105,2012,8,14,16,38,32,46
105,2011,12,13,13,49,51,47
105,2010,18,8,4,62,50,26
105,2009,8,10,16,34,39,49
105,2008,9,10,15,37,44,54
105,2007,21,6,7,69,73,37
105,2006,11,6,17,39,47,59
105,2005,16,6,12,54,57,44
105,2004,16,6,12,54,50,33
105,2003,28,4,2,88,81,25
105,2002,11,9,16,42,42,53
105,2001,10,12,12,42,43,45
105,2000,15,8,11,53,46,39
4482,2021,6,7,6,25,17,20
4482,2020,13,7,10,46,39,28
4482,2019,17,6,7,57,57,36
4482,2018,17,7,4,52,55,30
4482,2017,11,3,20,36,31,44
4482,2016,3,4,25,7,14,52
4482,2015,10,8,8,20,36,36
4482,2014,9,7,10,25,38,44
4482,2013,7,6,16,21,26,53
4482,2012,7,8,15,29,26,45
4482,2011,7,6,17,27,25,43
4482,2010,9,7,14,34,27,49
4482,2009,23,7,4,76,74,30
4482,2008,14,5,12,47,48,46
4482,2005,9,6,15,33,31,45
4482,2004,11,7,12,40,35,37
4482,2003,7,8,15,29,25,44
339,2016,9,13,10,25,32,37
339,2015,16,5,5,53,53,22
339,2014,16,6,4,54,47,17
339,2013,19,5,5,59,59,28
339,2012,16,8,6,56,56,27
339,2011,15,7,8,52,52,35
339,2010,16,9,5,57,46,20
339,2009,15,9,6,54,48,25
339,2008,13,9,8,48,34,25
339,2007,18,5,7,59,40,27
339,2006,11,14,5,47,32,24
339,2005,11,10,9,43,33,23
339,2004,13,9,8,48,38,34
339,2003,16,9,5,57,44,23
339,2001,11,7,8,40,30,20
4795,2022,10,5,9,35,35,31
4795,2021,4,9,21,21,30,65
4795,2020,20,11,7,71,56,40
4795,2019,17,12,9,63,61,40
4795,2018,9,8,17,35,43,55
4795,2017,12,9,13,45,47,45
4795,2016,8,8,18,32,36,57
4795,2015,10,10,14,40,33,42
4795,2014,17,13,4,64,53,32
4795,2013,11,11,12,44,34,33
4795,2012,10,12,12,42,36,43
4795,2011,8,13,13,37,43,58
4795,2010,9,10,15,37,40,46
4795,2009,18,10,10,64,72,46
4795,2008,7,10,17,31,38,54
4795,2007,18,8,8,62,50,36
4795,2006,13,12,9,51,45,39
